nr,node,latitude,longitude
108,6579921,63.45711050,11.56945110
109,6580281,63.45958030,11.54534530
110,6580280,63.46023630,11.54337090
111,6589488,63.46203970,11.52752400
112,6589163,63.46500860,11.49634080
113,6589161,63.46535560,11.49514400
114,3006078,63.46730140,11.48584430
115,6589487,63.45972440,11.45259810
116,6589158,63.45799820,11.44767530
117,6589758,63.45796930,11.44464310
118,6589757,63.45790360,11.44244840
119,6589756,63.45806920,11.44018420
120,3006092,63.45762170,11.43526820
121,3006077,63.45743600,11.43508570
122,3006076,63.45693660,11.43624310
123,3006093,63.45656260,11.43638440
124,5861808,63.45643710,11.42822630
125,5861807,63.45646980,11.42370470
126,5861806,63.45664840,11.42234650
127,5861755,63.45578250,11.41404870
128,5861756,63.45316310,11.40242710
129,5861757,63.45090570,11.40239200
130,5861758,63.44369400,11.39124870
131,5861730,63.43879230,11.38498610
132,5861759,63.43557030,11.38105650
133,5861760,63.43290130,11.36026520
134,5861804,63.44440760,11.35114120
135,5861860,63.44748610,11.35518460
136,6587312,63.44758140,11.35511580
137,5861845,63.44767850,11.35511030
138,5861844,63.45620070,11.35246620
139,5861843,63.45705110,11.35106280
140,2946879,63.45726130,11.35063380
141,2946880,63.45701060,11.34629630
142,2946881,63.45708040,11.34278780
143,2946882,63.45539520,11.33451350
144,2946886,63.45531810,11.33432780
145,2946887,63.45540630,11.32882560
146,6587316,63.45661420,11.32902590
147,3006097,63.45672750,11.32911540
148,3006098,63.45720570,11.32943720
149,3006094,63.45769750,11.32812140
150,3006095,63.45792480,11.32103160
151,3006096,63.45755730,11.31088030
152,6589739,63.45767520,11.29310270
153,3006105,63.45849440,11.29098530
154,3006087,63.45815880,11.29481130
155,3006086,63.45867190,11.29574060
156,1786465,63.45868510,11.29639060
157,1786464,63.45887490,11.29556310
158,1786463,63.45926520,11.29384120
159,1786462,63.45950580,11.29276870
160,1786461,63.45883900,11.28146320
161,1466707,63.45233200,11.27087550
162,1466706,63.45184250,11.27025380
163,1466705,63.44527990,11.25964250
164,1466704,63.44512030,11.25884260
165,1466703,63.44442240,11.25385240
166,1466702,63.44392540,11.24994170
167,1466701,63.44359440,11.24725720
168,1466700,63.44355440,11.24683270
169,1466699,63.44339750,11.24079740
170,1466698,63.44342600,11.23887570
171,1466697,63.44353530,11.23080300
172,1466696,63.44358970,11.22704330
173,1466695,63.44359300,11.22676890
174,1466694,63.44364370,11.22287860
175,1466693,63.44434930,11.21668890
176,1466692,63.44957410,11.20243410
177,4483883,63.45072740,11.20181080
178,4483882,63.45796360,11.19898440
179,4483881,63.45829260,11.19870370
180,4483880,63.45929160,11.19660490
181,4483879,63.46010290,11.19230190
182,4483878,63.46090960,11.18766250
183,4483876,63.46141570,11.18475200
184,1786460,63.46162440,11.18355390
185,1786459,63.46256100,11.17817260
